all2lwr.bat 	-- Командный файл для перевода имени файла в нижний регистр
SetIEParams.bat 	-- Устанавливает параметры Microsoft Internet Explorer\nUSAGE: SetIEParams.bat\nСкрипт использует вызов стандартной функции reg.exe\n\nПри своей работе скрипт устанавливает следующие параметры:\n\n  :: Отключить сообщение "Остановить выполнение этого сценария?"\n  :: Отключить сообщение об автозаполнении\n  :: Отключить автоматическое скрытие верхней панели\n  :: Отключить отладку сценариев (другие)\n  :: Отключить отладку сценариев (IE)\n  :: Не выполнять настройку при первом запуске\n  :: Не показывать уведомление о каждой ошибке сценария\n  :: Не показывать страницу знакомства с браузером\n  :: Не отправлять отчёты об ошибках\n  :: Домашняя страница http://www.google.ru/\n  :: Включить автозаполнение форм\n  :: Не открывать браузер в полноэкранном режиме\n  :: Уведомлять об окончании загрузки\n  :: Использовать плавную прокрутку\n  :: Не сообщать, если IE не используется по умолчанию\n  :: Включить фильтр SmartScreen\n  :: Разрешить вкладки\n  :: Удалить поисковик NightWarez.ru\n  :: Удалить поисковик Live Search\n  :: Удалить поисковик Microsoft\n  :: Удалить поисковик Yandex\n  :: Добавить поисковик Google\n  :: Назначить Google поисковиком по умолчанию (обязательно использование предыдущего твика)\n  :: Включить варианты для Google (обязательно использование предыдущих двух твиков)\n  :: Отключить предупреждение о начале просмотра веб-страницы через безопасное соединение (HTTPS)\n  :: Кэш для временных файлов = 250 Мб\n:: Домашняя страница\n:: Устранение последствий вирусов. Симптомы: на любой адрес открывается один и тот же зловредный сайт\nВ
SetIP.bat 	-- Установить IP, маску и шлюз на сетевом интерфейсе\nUSAGE: SetIP.bat interface_id [ip mask [gateway [metric]]]\nСкрипт использует вызов стандартной утилиты netsh.exe\nВ
SetKMS.bat 	-- Устанавливает KMS сервер для Windows и/или  Office\nUSAGE: SetKMS.bat win|off|all [kms_server]\nСкрипт использует вызов нестандартных скриптов ospp.vbs, slmgr.vbs\nВ
SetLayoutEn.bat 	-- Устанавливает английскую раскладку клавиатуры по умолчанию\nUSAGE: SetLayoutEn.bat\nСкрипт использует вызов стандартной утилиты reg.exe\nВ
SetLDAPBindParams.bat 	-- Задание установок для команды LDAP BIND\nUSAGE: SetLDAPBindParams.bat default|sasl\nСкрипт использует встроенную утилиту netsh.exe\nВ
ShowKMS.bat 	-- Показывает статус лицензии KMS для Windows и/или Office\nUSAGE: ShowKMS.bat win|off|all\nСкрипт использует вызов нестандартного скрипта slmgr.vbs\nВ
_find.exe 	-- Утилита «find» из пакета unxutils\nВ
PPTP.hta 	-- HTML GUI приложение для подключения к PPTP серверу\nВ
Suspend.bat 	-- Перевести компьютер в режим сна\nUSAGE: Suspend.bat\nСкрипт использует вызов стандартной програмы rundll.exe\nВ
SetMenuParams.bat 	-- Установить параметры меню Windows Explorer\nUSAGE: SetMenuParams.bat\nСкрипт использует вызов стандартной утилиты reg.exe\n\nСкрипт использует следующие установки (твики):\n\n  :: Раскрывать "Сетевые подключения" при использовании классического меню (для Windows XP)\n  :: Не использовать сокращённое меню (для Windows XP)\n  :: Не показывать пункт "Помощь" в меню (не для классического меню)\n  :: Включить классическое меню\n  :: Разрешить запуск "Панели управления" и показывать соответствующий пункт в меню\n  :: Не показывать пункт "Справка и поддержка" в меню (для классического меню)\n:: Разрешить запуск "Панели управления" и показывать соответствующий пункт в меню\n:: Не показывать пункт "Справка и поддержка" в меню (для классического меню)\nВ
SetNetDevCharacters.bat 	-- Устанавливает характеристики сетевого устройства\nUSAGE: SetNetDevCharacters.bat device_id characters_dword\nСкрипт использует вызов стандартной утилиты reg.exe\n\n:: Hide the TAP-Adapter in Network Connections:\n::   call :SetNetDevCharacters "tap0901" "0x81"\n::\n:: Show the TAP-Adapter in Network Connections:\n::   call :SetNetDevCharacters "tap0901" "0x89"\nВ
SetNumLock.bat 	-- Устанавливает режим работы клавиши NumLock\nUSAGE: SetNumLock.bat on|off\nСкрипт использует вызов стандартной утилиты reg.exe\nВ
SetOwner.bat 	-- Задаёт пользователя (собственника) файла или каталога\nUSAGE: SetOwner.bat file_or_dir [user]\nСкрипт использует вызов стандартной утилиты subinacl.exe и внешней утилиты hidec.exe\nВ
SetPasswordPolicy.bat 	-- Устанавливает значение политики паролей пользователей по умолчанию\nUSAGE: SetPasswordPolicy.bat\nСкрипт использует вызов стандартной утилиты reg.exe\n\nЗначения по умолчанию:\n\n::    Установка  минимальной  длины  пароля.  Это  изменение   не   затрагивает\n:: существующие пароли, а воздействует только на новые или замену старых.  Тип:\n:: REG_BINARY; Значение: любое допустимое (по умолчанию параметра нет)\n\n::    Этот параметр определяет, будет ли Windows  требовать  алфавитно-цифровой\n:: пароль, то есть пароль, созданный из комбинаций букв (А, В,  С...)  и  чисел\n:: (1,2,3...) Тип: REGD_WORD;  Значение:  1 - требовать (по умолчанию параметра\n:: нет)\n\n::    Интepaктивный вxoд в cиcтeму: нaпoминaть пoльзoвaтeлям oб иcтeчeнии cpoкa\n:: дeйcтвия пapoля зapaнee. Определяет, за какое количество дней, до  истечения\n:: срока  пароля  пользователя,  отобразится  предупреждающее  сообщение.  Тип:\n:: REG_DWORD; Значение: любое допустимое (по умолчанию 14). Локальная  политика\n:: безопасности > Лoкaльныe пoлитики > Пapaмeтpы бeзoпacнocти\n\n::   Компьютер  не  будет  менять  пароль  своей  системной  учетной   записи.\n:: Соответственно, он не "вылетит" из домена, даже  если  вы  его  не  включали\n:: несколько лет, или применили старый снимок состояния системы.\n\n::    Члeн  дoмeнa:  мaкcимaльный  cpoк   дeйcтвия   пapoля   учeтныx   зaпиceй\n:: кoмпьютepa. Локальная политика безопасности > Лoкaльныe пoлитики > Пapaмeтpы\n:: бeзoпacнocти. Тип: REG_DWORD; Значение: 1 - 1000000 (по умолчанию 30 дней)\nВ
SetSFCParams.bat 	-- Включение и выключение SFC (контроля целостности системных файлов)\nUSAGE: SetSFCParams.bat disable|enable\nСкрипт использует вызов системной утилиты reg.exe\n\n:: SFC - служба проверки системных файлов. Все системные файлы находятся в\n:: папках %SYSTEMROOT% и %SYSTEMROOT%\\System32. SFC автоматически\n:: восстанавливает их из папки %SYSTEMROOT%\\System32\\dllcache, если они были\n:: случайно удалены или повреждены.\n::\n:: KEY Name: HKLM\\SOFTWARE\\Microsoft\\Windows NT\\CurrentVersion\\Winlogon\n::\n:: Entry Name: SFCDisable\n:: Data Type: REG_DWORD\n:: Value: 0,1,2,3,4\n::   0 - SFC включена (по умолчанию).\n::   1 - SFC отключена, но спрашивает пользователя о включении при загрузке ОС.\n::   2 - SFC отключена полностью и пользователи не могут снова включить её.\n::   4 - SFC включена, но всплывающие окна блокируются.\n::\n:: Параметр SFCScan может быть полезен для выполнения сканирования файлов,\n:: защищенных системой.\n::\n:: Entry Name: SFCScan\n:: Data Type: REG_DWORD\n:: Value: 0,1,2\n::   0 - не проверять защищенные файлы при загрузке системы (по умолчанию).\n::   1 - сканировать защищённые файлы при каждой загрузке.\n::   2 - разово сканировать файлы, защищённые системой.\n::\n:: Параметр SFCQuota задаёт размер папки %SYSTEMROOT%\\System32\\dllcache. По\n:: умолчанию её размер - 400 Мб (0xFFFFFFFF). Размер папки можно сократить до\n:: нуля с помощью команды: sfc /cachesize=0.\n::\n:: Entry Name: SFCQuota\n:: Data Type: REG_DWORD\n:: Value: 0x00000000..0xFFFFFFFF\n::\n:: http://winitpro.ru/index.php/2010/07/28/windows-sfc-i-klyuchi-reestra/\n:: http://citforum.ru/operating_systems/windows/optimXP/\nВ
SetSRPPolicy.bat 	-- Задание политики разрешения программного обеспечения \nUSAGE: SetSRPPolicy.bat unrestricted|basicuser|disallowed|disable|log|nolog\nСкрипт использует вызов системной утилиты reg.exe\n\nОсновной алгоритм действий:\n\n:: Включаем уровень политики в param (для Windows Vista/Windows Server 2008)\n:: Выводим администраторов из-под действия политики (для Windows Vista/Windows Server 2008)\n:: Включаем уровень политики в param (для Windows XP /Windows Server 2003)\nВ
SetTaskbarParams.bat 	-- Устанавливает параметры панели задач (твик)\nUSAGE: SetTaskbarParams.bat \nСкрипт используетвызов стандартной утилиты reg.exe\n\nОсновные действия:\n:: Восстанавливаем панель задач (для Windows XP)\n  :: Всегда отображать все значки и уведомления на панели задач\n  :: Отключить значок "Центр поддержи" из области уведомлений\n  :: Отключить предварительный просмотр рабочего стола (для Windows 7)\n  :: Отключить предварительный просмотр окон над панелью задач (для Windows 7)\n  :: Отключить все всплывающие уведомления в трее\n  :: Не группировать кнопки на панели задач (для Windows XP)\n  :: Не группировать кнопки на панели задач (для Windows 7)\n:: Отключить предупреждения системы антивирусной защиты\n:: Отключить предупреждения системы антивирусной защиты\n:: Отключить предупреждения брандмауэра\n:: Отключить предупреждения брандмауэра\n:: Отключить сообщения центра безопасности\n:: Отключить предупреждения службы автоматического обновления\nВ
SetTCPIPParams.bat 	-- Установить TCP/IP параметры по умолчанию\nUSAGE: SetTCPIPParams.bat\nСкрипт использует вызов системной утилиты reg.exe\nВ
SetTime.bat 	-- Вызывает GUI панель для установки даты, времени и часового пояса\nUSAGE: SetTime.bat\nСкрипт использует вызов стандартной утилиты control.exe и оснастки timedate.cpl\nВ
SetTimeMaxPhaseCorrection.bat 	-- Скрипт устанавливает максимальное время фазовой коррекции\nUSAGE: SetTimeMaxPhaseCorrection.bat fordc|always\nСкрипт использует вызов стандартной утилиты reg.exe\n\n:: Задаем максимальную величину отрицательной/положительной коррекции времени\n:: (в секундах), которую может выполнить служба времени. Если окажется, что\n:: величина изменения превышает допустимое значение, то изменение выполняться\n:: не будет, и будет зарегистрировано соответствующее событие. Если данный\n:: параметр равен 0xFFFFFFFF, то изменение времени будет выполняться всегда.\n:: По умолчанию для компьютеров-членов домена используется значение 0xFFFFFFFF.\n:: Для изолированных компьютеров и серверов по умолчанию используется значение\n:: 0x0000D2F0 (15 часов). Для контроллеров домена - 0x0002A300 (48 часов).\n\nВ
SetTimeoutForLAN.bat 	-- Задание времени соединения по локальной сети (LAN)\nUSAGE: SetTimeoutForLAN.bat minuts\nСкрипт использует вызов системной утилиты net.exe\n\n:: Задание времени до автоматического отключения соединения серверной службы:\n:: net config server /autodisconnect:N\n:: Где N - количество минут (макс. 65535), соответствующее интервалу ожидания,\n:: по истечении которого будет прервано соединение с подключённым сетевым\n:: диском. При N=0 серверная служба прерывает соединение с подключенными\n:: сетевыми дисками после нескольких секунд бездействия. При N=-1\n:: автоматическое отключение отменяется. По умолчанию N=15.\n\n\nВ
SetTimeSpecialPollInterval.bat 	-- Установки времени специальной коррекции временного интервала с NTP серверов\nUSAGE: SetTimeSpecialPollInterval.bat seconds\nСкрипт использует вызов системной утилиты reg.exe\n\n:: Список источников W32Time настраивается через параметр реестра\n:: HKLM\\SYSTEM\\CurrentControlSet\\Services\\W32Time\\Parameters\\NtpServer\n:: Он содержит список серверов времени, разделяемых пробелами. Каждый сервер\n:: может иметь установленные шестнадцатеричные значения флагов, указываемые\n:: через запятую после сервера. Существует 4 возможных значений флагов:\n::   0x01 SpecialInterval\n::   0x02 UseAsFallbackOnly\n::   0x04 SymmatricActive\n::   0x08 Client\n::\n:: При использовании флага SpecialInterval, используется параметр реестра\n:: HKLM\\SYSTEM\\CurrentControlSet\\Services\\W32Time\\TimeProviders\\NtpClient\\\n:: SpecialPollInterval - интервал синхронизации времени в секундах.\n:: По умолчанию он равен 7 дням (604800 сек). При такой настройке часы могут\n:: иметь погрешность до нескольких минут. Рекомендую уменьшить интервал\n:: синхронизации до 6 часов (21600 сек). Это изменение не увеличит ни трафика,\n:: ни нагрузки на NTP-сервера, и при этом позволит поддерживать более высокую\n:: точность хода часов вашего компьютера.\n::\n:: При значении флага UseAsFallbackOnly службе времени сообщается, что данный\n:: сервер будет использоваться как резервный и перед синхронизацией с ним\n:: будут выполнятся обращения к другим серверам списка.\n::\n:: После внесения необходимых настроек в можно перечитать конфигурацию\n:: сохранённую в реестре командой: w32tm /config /update. И при необходимости\n:: выполнить немедленную синхронизацию: w32tm /resync.\nВ
SetTimeSyncFromDC.bat 	-- Устанавливает время синхронизации с контроллером домена (DC) по умолчанию\nUSAGE: SetTimeSyncFromDC.bat\nСкрипт использует вызов стандартной утилиты w32tm.exe\n\n:: Существует несколько вариантов работы службы SNTP, входящей в Windows:\n::  - Иерархическая (NT5DS). Используется по умолчанию для всех компьютеров,\n:: объединённых в домен. Синхронизация времени на рабочих станциях и серверах\n:: домена производится по иерархии. Таким образом, рабочие станции и рядовые\n:: серверы синхронизируются с контроллером домена, аутентифицировавшим вход,\n:: контроллеры домена - с хозяином операции <эмулятор PDC>, который в свою\n:: очередь синхронизируется с контроллером домена, стоящим на более высоком\n:: уровне иерархии. Следует заметить, что данный порядок синхронизации\n:: используется <по умолчанию> и может быть переопределён вручную или с\n:: использованием групповых политик.\n::  - Принудительная синхронизация с выбранным NTP-сервером (NTP). В данном\n:: случае источник эталонного времени для службы Windows Time устанавливается\n:: либо вручную, либо с помощью групповых политик.\n::  - Отключение синхронизации (NoSync). Этот режим необходим для смешанной\n:: схемы поддержания времени, в которой для синхронизации с внешним источником\n:: используется продукт третьей фирмы, а для поддержания времени в рамках\n:: домена используется Windows Time.\n::\n:: Настройки службы Windows Time хранятся в реестре Windows в разделе\n:: "HKLM\\SYSTEM\\CurrentControlSet\\Services\\W32Time".\n:: В корне раздела определяются параметры работы самой службы, в подключе\n:: Config - настройки, связанные с работой самого протокола SNTP.\n:: Режим синхронизации определяется в подключе Parameters. Настройки\n:: SNTP-клиента и сервера находятся в подключах TimeProviders\\NtpClient и\n:: TimeProviders\\NtpServer соответственно. Рассмотрим основные значения,\n:: определяющие настройку NTP клиента и сервера:\n::  - Type - определяет режим работы NTP-клиента:\n::    - NTDS5   - иерархическая;\n::    - NTP     - вручную;\n::    - NoSync  - не синхронизировать;\n::    - AllSync - доступны все типы синхронизации.\n::  - Enabled - определяет, включён ли данный компонент (клиент или сервер);\n::  - CrossSiteSyncFlags - определяет, можно ли синхронизировать время с\n:: источником, находящимся за пределами домена, в случае если используется\n:: иерархическая синхронизация:\n::    - 0 - нельзя;\n::    - 1 - только с эмулятором PDC;\n::    - 2 - со всеми.\n::  - EventLogFlags - определяет, будут ли сообщения от Windows Time заносится\n:: в журнал или нет.\nВ
SetTimeSyncFromSrc.bat 	-- Установка синхронизации времени из источников\nUSAGE: SetTimeSyncFromSrc.bat [ntp_server1 [ntp_server2] ..]\nСкрипт использует вызов системной утилиты w32tm.exe\n\n:: Существует несколько вариантов работы службы SNTP, входящей в Windows:\n::  - Иерархическая (NT5DS). Используется по умолчанию для всех компьютеров,\n:: объединённых в домен. Синхронизация времени на рабочих станциях и серверах\n:: домена производится по иерархии. Таким образом, рабочие станции и рядовые\n:: серверы синхронизируются с контроллером домена, аутентифицировавшим вход,\n:: контроллеры домена - с хозяином операции <эмулятор PDC>, который в свою\n:: очередь синхронизируется с контроллером домена, стоящим на более высоком\n:: уровне иерархии. Следует заметить, что данный порядок синхронизации\n:: используется <по умолчанию> и может быть переопределён вручную или с\n:: использованием групповых политик.\n::  - Принудительная синхронизация с выбранным NTP-сервером (NTP). В данном\n:: случае источник эталонного времени для службы Windows Time устанавливается\n:: либо вручную, либо с помощью групповых политик.\n::  - Отключение синхронизации (NoSync). Этот режим необходим для смешанной\n:: схемы поддержания времени, в которой для синхронизации с внешним источником\n:: используется продукт третьей фирмы, а для поддержания времени в рамках\n:: домена используется Windows Time.\n::\n:: Настройки службы Windows Time хранятся в реестре Windows в разделе\n:: "HKLM\\SYSTEM\\CurrentControlSet\\Services\\W32Time".\n:: В корне раздела определяются параметры работы самой службы, в подключе\n:: Config - настройки, связанные с работой самого протокола SNTP.\n:: Режим синхронизации определяется в подключе Parameters. Настройки\n:: SNTP-клиента и сервера находятся в подключах TimeProviders\\NtpClient и\n:: TimeProviders\\NtpServer соответственно. Рассмотрим основные значения,\n:: определяющие настройку NTP клиента и сервера:\n::  - Type - определяет режим работы NTP-клиента:\n::    - NTDS5   - иерархическая;\n::    - NTP     - вручную;\n::    - NoSync  - не синхронизировать;\n::    - AllSync - доступны все типы синхронизации.\n::  - Enabled - определяет, включён ли данный компонент (клиент или сервер);\n::  - CrossSiteSyncFlags - определяет, можно ли синхронизировать время с\n:: источником, находящимся за пределами домена, в случае если используется\n:: иерархическая синхронизация:\n::    - 0 - нельзя;\n::    - 1 - только с эмулятором PDC;\n::    - 2 - со всеми.\n::  - EventLogFlags - определяет, будут ли сообщения от Windows Time заносится\n:: в журнал или нет.\nВ
SetTimeSyncParams.bat 	-- Установить параметры синхронизации времени по умолчанию\nUSAGE: SetTimeSyncParams.bat\nСкрипт использует вызовы ранее определённых скриптов.\nВ
SetToggleCS.bat 	-- Устанавливает переключатель раскладки клавиатуры в Ctrl+Shift\nUSAGE: SetToggleCS.bat \nСкрипт использует вызов системной утилиты reg.exe\nВ
SetUACPolicy.bat 	-- Управляет политикой контроля доступа пользователя\nUSAGE: SetUACPolicy.bat disable|enable|default\nСкрипт использует вызов системной утилиты reg.exe\n\n:: Настройки групповых политик контроля учётных записей\n:: ----------------------------------------------------\n:: http://dimanb.wordpress.com/2010/02/16/настройки-групповых-политик-контрол/\n::\n:: RegKey RegValue:Disable/Enable/Default PolicyName\n:: ------ ------------------------------- -----------------------------------------------------------------------------------------------\n:: EnableLUA                     0/1/1    Все администраторы работают в режиме одобрения администратором (UAC for users)\n:: EnableInstallerDetection      0/1/1    Обнаружение установки приложений и запрос на повышение прав\n:: PromptOnSecureDesktop         0/0/1    Переключение к безопасному рабочему столу при выполнении запроса на повышение прав\n:: ConsentPromptBehaviorAdmin    0/0/5    Поведение запроса на повышение прав для администраторов в режиме одобрения администратором\n:: ConsentPromptBehaviorUser     3/3/3    Поведение запроса на повышение прав для обычных пользователей\n:: EnableSecureUIAPaths          0/1/1    Повышать права для UIAccess-приложений только при установке в безопасных местах\n:: ValidateAdminCodeSignatures   0/0/0    Повышение прав только для подписанных и проверенных исполняемых файлов\n:: EnableVirtualization          1/1/1    При сбоях записи в файл или реестр виртуализация в место размещения пользователя\n:: EnableUIADesktopToggle        1/1/0    Разрешить UIAccess-приложениям запрашивать повышение прав, не используя безопасный рабочий стол\n:: FilterAdministratorToken      0/0/0    Режим одобрения администратором для встроенной учётной записи администратора (UAC for admin)\n:: LocalAccountTokenFilterPolicy 1/1/0    Разрешить членам группы лок. администраторов административные подключения к удалённым компьютерам с полными правами\n::\n:: В этой статье рассказывается обо всех возможных настройках контроля учётных\n:: записей пользователей. Рассмотрены все десять параметров политики\n:: безопасности, которые отвечают за все возможные действия, связанные с UAC.\n:: Кроме настройки контроля учётных записей при помощи групповой политики,\n:: также рассмотрены эквивалентные им твики реестра.\nВ
ShortFileNames.bat 	-- Включение,выключение создания коротких имён файлов на всех NTFS томах\nUSAGE: ShortFileNames.bat disable|enable\nСкрипт использует вызов системной утилиты reg.exe\nВ
ShowInactiveUsers.bat 	-- Показывает неактивных пользователей системы за период [rdn [24weeks]]\nUSAGE: ShowInactiveUsers.bat [dn|rdn|upn|samid [weeks]]\nСкрипт использует вызов стандартной программы dsquery.exe\nВ
ShowInterfaces.bat 	-- Показывает сетевые интерфейсы в виде таблицы\nUSAGE: ShowInterfaces.bat \nФункция использует вызов системной утилиты netsh.exe\nВ
ShowLoggedUsers.bat 	-- Показывает залогиненых пользователей в системе\nUSAGE: ShowLoggedUsers.bat\nСкрипт использует вызов стандартной функции tasklist.exe\nВ
ShowPrinters.bat 	-- Показывает принтеры, подключённые к сети (только реальные, не виртуальные принтеры)\nUSAGE: ShowPrinters.bat [real]\nСкрипт использует вызовы стандартных утилит reg.exe, find.exe и сторонней утилиты sed.exe\nВ
ShowRunRegKeys.bat 	-- Показывает записи ключа «Run» системного реестра, управляющего автозапуском\nUSAGE: ShowRunRegKeys.bat\nСкрипт использует вызов стандартных утилит reg.exe и find.exe\nВ
ShowTrustedSites.bat 	-- Показывает доверенные сайты для Internet Explorer\nUSAGE: ShowTrustedSites.bat \nСкрипт использует вызов системных утилит reg.exe и find.exe\nВ
ShowUsersProfiles.bat 	-- Показывает профили пользователей системы\nUSAGE: ShowUsersProfiles.bat\nСкрипт использует вызов встроенной команды cd\nВ
SIADebugTracing.bat 	-- Включение и выключение отладочной трассировки Помощника подключения к онлайн сервисам Microsoft\nUSAGE: SIADebugTracing.bat disable|enable\nСкрипт использует вызов системной утилиты reg.exe\nВ
Software.bat 	-- Удаление программного обеспечения из системы [показывает список установленного ПО]\nUSAGE: Software.bat [uninstall name]\nСкрипт использует вызовы различных системных программ и плотно работает с реестром\nВ
StopReplicationOnAutoRecovery.bat 	-- Остановка автоматической репликации DFS после автоматического восстановления после сбоя\nUSAGE: StopReplicationOnAutoRecovery.bat disable|enable\nСкрипт использует вызов системной утилиты reg.exe и скриптов EchoSucc.bat и EchoFail.batВ
Svc.bat 	-- Управление службами Windows [показывает список запущенных служб]\nUSAGE: Svc.bat [delete|disable|auto|demand|stop|start|check service_name]\nСкрипт использует вызовы системных функций sc.exe, findstr.exe и find.exe\nВ
Svc_w32time.bat 	-- Регистрация и удаление службы w32time\nUSAGE: Svc_w32time.bat unregister|register\nСкрипт использует вызов системных утилит w32tm.exe и find.exe\nВ
SyncTime.bat 	-- Синхронизирует время компьютера\nUSAGE: SyncTime.bat \nСкрипт использует вызов системной функции w32.tm.exe, find.exe, командных файлов EchoSucc и EchoFail\n\nВ
SysFiles.bat 	-- Защищает и снимает защиту с системных файлов Misrosoft Windows\nUSAGE: SysFiles.bat protect|unprotect\nСкрипт использует вызовы системной утилиты attrib.exe и скрипта SetAccessMode.bat\nВ
contig.exe 	-- утилита дефрагментации определённого файла или файлов\nВ
ddriverc.exe 	-- Программа Double Driver для резервного копирования драйверов\nВ
hidec.exe 	-- программа скрывает консоль Windows запускаемой программы и ждёт (опционально) её завершения\nUSAGE: hidec [/w] filename\n\nгде опция /w заставляет ожидать завершение программы\nfilename файл запускаемой программы\nВ
hs_color.exe 	-- Программа для изменения цвета выводимых символов на консоли\nВ
hs_echo.exe 	-- Вывод строки текста на экран без перевода строки\nВ
regjump.exe 	-- программа перевода файла regedit на заданную ветвь (из пакета sysinternals)\nВ
rsync.exe 	-- rsync это программа пересылки файла с возможностью эффективного удалённого обновления по различным быстрым алгоритмам. Может также работать как служба.\nВ
usbitcmd.exe 	-- программа для резервного копирования и восстановления из архива со съёмного USB устройства на жёсткий диск, а также показа всех съёмных носителей, подключённых к системе.\nВ
